data:text/csv;charset=utf-8,Id,m8,m9,m10,m11,m12,m13,m14,m15,m16,m19,m20,m21,m22,m23,m24
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,,,,,,,,,
Full label,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g WriteThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw WriteThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ WriteThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g WriteIOPS Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw WriteIOPS Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ WriteIOPS Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw WriteLatency Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g WriteLatency Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ WriteLatency Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g ReadThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw ReadThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ ReadThroughput Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw ReadIOPS Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g ReadIOPS Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ ReadIOPS Minimum 60
Label,WriteThroughput,WriteThroughput,WriteThroughput,WriteIOPS,WriteIOPS,WriteIOPS,WriteLatency,WriteLatency,WriteLatency,ReadThroughput,ReadThroughput,ReadThroughput,ReadIOPS,ReadIOPS,ReadIOPS
2024/03/10 06:41:00,,,,,,,,,,,,,,,
2024/03/10 06:42:00,,,,,,,,,,,,,,,
2024/03/10 06:43:00,,,,,,,,,,,,,,,
2024/03/10 06:44:00,344569.17333333334,,,3.8733333333333335,,,,0.0020224716006884682,,13.653333333333334,,,,0.0033333333333333335,
2024/03/10 06:45:00,,3000210.7733333334,2498.56,,21.22,0.3433333333333333,0.003042459000942507,,0.0009375339805825243,,13.653333333333334,0,0.0033333333333333335,,0
2024/03/10 06:46:00,,,,,,,,,,,,,,,
2024/03/10 06:47:00,,,,,,,,,,,,,,,
2024/03/10 06:48:00,,,,,,,,,,,,,,,
2024/03/10 06:49:00,2813269.3333333335,,,19.32,,,,0.003562237577639752,,0,,,,0,
2024/03/10 06:50:00,,4916224,14021.973333333333,,30.86,1.91,0.003784042017714409,,0.0009457923211169284,,0,0,0,,0
2024/03/10 06:51:00,,,,,,,,,,,,,,,
2024/03/10 06:52:00,,,,,,,,,,,,,,,
2024/03/10 06:53:00,,,,,,,,,,,,,,,
2024/03/10 06:54:00,6081372.16,,,34.343333333333334,,,,0.004298371833446569,,27.30666666666667,,,,0.006666666666666667,
2024/03/10 06:55:00,,5190601.386666667,6690.133333333333,,32.32333333333333,0.89,0.003572130865216046,,0.0009533857677902622,,13.653333333333334,0,0.0033333333333333335,,0
2024/03/10 06:56:00,,,,,,,,,,,,,,,
2024/03/10 06:57:00,,,,,,,,,,,,,,,
2024/03/10 06:58:00,,,,,,,,,,,,,,,
2024/03/10 06:59:00,5455612.586666667,,,32.736666666666665,,,,0.00373595672538438,,13.653333333333334,,,,0.0033333333333333335,
2024/03/10 07:00:00,,5196581.546666667,3986.7733333333335,,30.18,0.5533333333333333,0.0038951939474265516,,0.0010054397590361444,,0,0,0,,0
2024/03/10 07:01:00,,,,,,,,,,,,,,,
2024/03/10 07:02:00,,,,,,,,,,,,,,,
2024/03/10 07:03:00,,,,,,,,,,,,,,,
2024/03/10 07:04:00,5088351.573333333,,,29.953333333333333,,,,0.003781037057645226,,0,,,,0,
2024/03/10 07:05:00,,6082368.8533333335,3386.0266666666666,,32.446666666666665,0.44,0.004708478117937128,,0.0009908106060606062,,27.30666666666667,0,0.006666666666666667,,0
